"Krishnendu Chatterjee","Affiliations{IST Austria,}"
"Gazi Mahmud","Affiliations{Sonatype,}"
"R. Stanley Williams","Affiliations{Hewlett Packard Labs,}"
"Vasilis Syrgkanis","Affiliations{Microsoft Research, 641 Avenue of the Americas, New York, NY 10011 USA,}"
"Ari Rappoport","Affiliations{The Hebrew University,Institute of Computer Science}"
"Robert E. Schapire","Affiliations{Microsoft Research, 641 Avenue of the Americas, New York, NY 10011 USA,}"
"Shan Shan Huang","Affiliations{LogicBlox, USA,}"
